fecha;anio;division;apellido;nombre;estado
20/08/2026;1;2;Álvarez;Sofía;Presente
20/08/2026;1;2;Blanco;Martín;Presente
20/08/2026;1;2;Carrizo;Luciana;Presente
20/08/2026;1;2;Castro;Ignacio;Presente
20/08/2026;1;2;Díaz;Mateo;Presente
20/08/2026;1;2;Fernández;Nicolás;Presente
20/08/2026;1;2;Giménez;Emilia;Presente
20/08/2026;1;2;Gutiérrez;Tomás;Presente
20/08/2026;1;2;Herrera;Valentina;Presente
20/08/2026;1;2;Ibarra;Lautaro;Presente
20/08/2026;1;2;Juárez;Camila;Presente
20/08/2026;1;2;López;Agustín;Presente
20/08/2026;1;2;Martínez;Delfina;Presente
20/08/2026;1;2;Medina;Sol;Presente
20/08/2026;1;2;Núñez;Facundo;Presente
20/08/2026;1;2;Olivera;Micaela;Ausente
20/08/2026;1;2;Peralta;Juan;Presente
20/08/2026;1;2;Pérez;Gonzalo;Presente
20/08/2026;1;2;Quinteros;Julieta;Presente
20/08/2026;1;2;Rodríguez;Santino;Presente
20/08/2026;1;2;Romero;Florencia;Presente
20/08/2026;1;2;Sánchez;Mía;Ausente
20/08/2026;1;2;Toledo;Benjamín;Presente
20/08/2026;1;2;Ugarte;Catalina;Ausente
20/08/2026;1;2;Vázquez;Joaquín;Presente
20/08/2026;1;2;Yáñez;Martina;Presente
20/08/2026;1;2;Zalazar;Thiago;Presente
